AIRLINE_ID,CARRIER_GROUP,CARRIER_GROUP_NEW
19031,1,6
19032,1,1
19033,1,6
19034,1,6
19035,1,6
19036,1,6
19037,1,6
19038,1,6
19039,1,6
19040,1,6
19041,1,6
19042,1,6
19043,1,6
19044,1,6
19045,1,6
19046,1,6
19047,1,6
19048,1,6
19049,1,6
19050,1,6
19051,1,6
19052,1,6
19053,1,6
19054,1,6
19055,1,6
19056,1,6
19057,1,6
19058,1,6
19059,1,6
19060,1,6
19061,1,6
19062,1,6
19063,1,6
19064,1,6
19065,1,1
19066,1,6
19067,1,6
19068,1,6
19069,1,6
19070,1,6
19071,1,6
19072,1,6
19073,1,6
19074,1,6
19075,1,6
19076,1,6
19077,1,6
19078,1,6
19079,1,6
19080,1,6
19081,1,6
19082,1,6
19083,1,6
19084,1,6
19085,1,6
19086,1,6
19087,1,6
19088,1,6
19089,1,6
19090,1,6
19091,1,6
19092,1,6
19093,1,6
19094,1,6
19095,1,6
19096,1,6
19097,1,6
19098,1,6
19099,1,6
19100,1,6
19101,1,6
19102,1,6
19103,1,6
19104,1,6
19105,1,6
19106,1,6
19107,1,6
19108,1,6
19109,1,6
19110,1,6
19111,1,6
19112,1,6
19113,1,6
19114,1,6
19115,1,6
19116,1,6
19117,1,6
19118,1,6
19119,1,6
19120,1,6
19121,1,6
19122,1,6
19123,1,6
19124,1,6
19125,1,6
19126,1,6
19127,1,6
19128,1,6
19129,1,6
19130,1,6
19131,1,6
19132,1,6
19133,1,6
19134,1,6
19135,1,6
19136,1,6
19137,1,6
19138,1,6
19139,1,6
19140,1,6
19141,1,6
19142,1,6
19143,1,6
19144,1,6
19145,1,6
19146,1,6
19147,1,6
19148,1,6
19149,1,6
19150,1,6
19151,1,6
19152,1,6
19153,1,6
19154,1,6
19155,1,6
19156,1,6
19157,1,6
19158,1,6
19159,1,6
19160,1,6
19161,1,6
19162,1,6
19163,1,6
19164,1,6
19165,1,6
19166,1,6
19167,1,6
19168,1,6
19169,1,6
19170,1,6
19171,1,6
19172,1,6
19173,1,6
19174,1,6
19175,1,6
19176,1,6
19177,1,6
19178,1,6
19179,1,6
19180,1,6
19181,1,6
19182,1,6
19183,1,6
19184,1,6
19185,1,6
19186,1,6
19187,1,6
19188,1,6
19189,1,6
19190,1,6
19191,1,6
19192,1,6
19193,1,6
19194,1,6
19195,1,6
19196,1,6
19197,1,6
19198,1,6
19199,1,6
19200,1,6
19201,1,6
19202,1,6
19203,1,6
19204,1,6
19205,1,6
19206,1,6
19207,1,6
19208,1,6
19209,1,6
19210,1,6
19211,1,6
19212,1,6
19213,1,6
19214,1,6
19215,1,6
19216,1,6
19217,1,6
19218,1,6
19219,1,6
19220,1,6
19221,1,6
19222,1,6
19223,1,6
19224,1,6
19225,1,6
19226,1,6
19227,1,6
19228,1,6
19229,1,6
19230,1,6
19231,1,6
19232,1,6
19233,1,6
19234,1,6
19235,1,6
19236,1,6
19237,1,6
19238,1,6
19239,1,6
