AIRLINE_ID,CARRIER,CARRIER_ENTITY,CARRIER_NAME,WAC,CARRIER_GROUP,REGION,START_DATE_SOURCE,THRU_DATE_SOURCE
19031,MAC,30550,Mackey International Inc.,10,1,Domestic,1/1/1960,12/31/1982
19032,XY,4530,Munz Northern Airlines Inc.,10,1,Domestic,1/1/1960,9/30/1983
19033,COC,30337,Cochise Airlines Inc.,10,1,Domestic,1/1/1960,12/31/1984
19034,GSA,37760,Golden Gate Airlines Inc.,10,1,Domestic,1/1/1960,12/31/1984
19035,RZZ,30012,Aeromech Inc.,10,1,Domestic,1/1/1960,12/31/1984
19036,GLW,30474,Golden West Airlines Co.,10,1,Domestic,1/1/1960,12/31/1985
19037,PRN,30657,Puerto Rico Intl Airlines,10,1,Domestic,1/1/1960,12/31/1985
19038,STZ,30780,Air America Inc.,10,1,Domestic,1/1/1960,12/31/1985
19039,SWT,30795,Swift Aire Lines Inc.,10,1,Domestic,1/1/1960,12/31/1985
19040,TSF,37868,American Central Airlines,10,1,Domestic,1/1/1960,12/31/1985
19041,VEZ,37895,Valdez Airlines,10,1,Domestic,1/1/1960,12/31/1985
19042,WEB,30911,Southeast Alaska Airlines,10,1,Domestic,1/1/1960,12/31/1985
19043,AAR,30159,Altair Airlines Inc.,10,1,Domestic,1/1/1960,12/31/1986
19044,CHI,30336,Chitina Air Service,10,1,Domestic,1/1/1960,12/31/1986
19045,MRC,30552,Marco Island Airways Inc.,10,1,Domestic,1/1/1960,12/31/1986
19046,OHZ,30297,Caribbean Air Services Inc.,10,1,Domestic,1/1/1960,12/31/1986
19047,PRO,37612,Sundance Airlines,10,1,Domestic,1/1/1960,12/31/1986
19048,SAI,37817,Seair Alaska Airlines Inc.,10,1,Domestic,1/1/1960,12/31/1986
19049,SLZ,30770,Southeast Airlines Inc.,10,1,Domestic,1/1/1960,12/31/1986
19050,AAZ,30126,Alaska Aeronautical Indust.,10,1,Domestic,1/1/1960,12/31/1987
19051,IMP,30500,Imperial Airlines Inc.,10,1,Domestic,1/1/1960,12/31/1987
19052,TWA,37637,Trans Western Airlines Utah,10,1,Domestic,1/1/1960,12/31/1987
19053,WRT,37994,Wright Airlines Inc.,10,1,Domestic,1/1/1960,12/31/1987
19054,COL,30342,Presidential Express,10,1,Domestic,1/1/1960,12/31/1988
19055,MVA,30580,Mississippi Valley Airlines,10,1,Domestic,1/1/1960,12/31/1989
19056,CHL,37762,Channel Flying Inc.,10,1,Domestic,1/1/1960,12/31/1990
19057,JCZ,30682,Rocky Mountain Airways Inc.,10,1,Domestic,1/1/1960,12/31/1990
19058,MIS,30560,Midstate Airlines Inc.,10,1,Domestic,1/1/1960,12/31/1990
19059,STG,30715,Sedalia Marshall Boonvl Stg,10,1,Domestic,1/1/1960,12/31/1990
19060,CKI,30353,Inlet Airlines,10,1,Domestic,1/1/1960,12/31/1991
19061,CMD,30352,Command Airways Inc.,10,1,Domestic,1/1/1960,12/31/1991
19062,EMA,37763,Emerald Airlines,10,1,Domestic,1/1/1960,12/31/1991
19063,ORI,37888,Orion Air Inc.,10,1,Domestic,1/1/1960,12/31/1991
19064,RAN,30670,Pan Am Express,10,1,Domestic,1/1/1960,12/31/1991
19065,AJ,10025,Air Micronesia Inc.,10,1,Pacific,1/1/1960,6/30/1993
19066,SKI,37887,Sunbird Inc.,10,1,Domestic,1/1/1960,12/31/1996
19067,WWI,37849,Wings West Airlines,10,1,Domestic,1/1/1960,3/31/1998
19068,AND,37899,Southcentral Air Inc.,10,1,Domestic,1/1/1960,6/30/2000
19069,ACG,37944,Air Cargo Express Inc.,10,1,Domestic,1/1/1960,12/31/2001
19070,AAA,30861,Associated Aviation Act.,10,1,Domestic,1/1/1960,9/30/2002
19071,AAB,30201,Antilles Air Boats Inc.,10,1,Domestic,1/1/1960,9/30/2002
