DEST_AIRPORT_ID,DEST,DEST_AIRPORT_SEQ_ID
11292,DEN,1129202
14771,SFO,1477102
11292,DEN,1129202
10325,APA,1032504
11315,DIK,1131502
12389,ISN,1238902
11292,DEN,1129202
15016,STL,1501603
11503,EGE,1150303
11503,EGE,1150303
11292,DEN,1129202
11996,GSP,1199603
15570,VCV,1557001
11109,COS,1110902
10800,BUR,1080003
11503,EGE,1150303
10800,BUR,1080003
10372,ASE,1037203
14107,PHX,1410702
11292,DEN,1129202
11109,COS,1110902
11292,DEN,1129202
11292,DEN,1129202
10397,ATL,1039705
11298,DFW,1129804
11292,DEN,1129202
10397,ATL,1039705
10397,ATL,1039705
10397,ATL,1039705
11193,CVG,1119302
11433,DTW,1143302
11775,FSD,1177502
12889,LAS,1288903
14679,SAN,1467903
14869,SLC,1486903
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
16091,YIP,1609103
11109,COS,1110902
11292,DEN,1129202
11042,CLE,1104203
12448,JAN,1244805
12892,LAX,1289205
13303,MIA,1330303
14524,RIC,1452401
11292,DEN,1129202
14771,SFO,1477102
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11109,COS,1110902
10792,BUF,1079204
11140,CRP,1114006
11481,ECP,1148102
11973,GPT,1197302
11996,GSP,1199603
12896,LBB,1289605
12992,LIT,1299204
11109,COS,1110902
11292,DEN,1129202
10423,AUS,1042302
13930,ORD,1393004
14831,SJC,1483104
10325,APA,1032504
10325,APA,1032504
10372,ASE,1037203
12889,LAS,1288903
11292,DEN,1129202
11292,DEN,1129202
13796,OAK,1379604
14275,PTK,1427502
14869,SLC,1486903
11921,GJT,1192102
11563,ENV,1156303
11292,DEN,1129202
11292,DEN,1129202
13796,OAK,1379604
11292,DEN,1129202
13342,MKE,1334205
11292,DEN,1129202
10590,IFP,1059004
10590,IFP,1059004
11292,DEN,1129202
11719,FNL,1171902
13502,MTJ,1350202
14288,PUB,1428803
10590,IFP,1059004
10590,IFP,1059004
14288,PUB,1428803
13796,OAK,1379604
11292,DEN,1129202
11193,CVG,1119302
11292,DEN,1129202
11109,COS,1110902
11292,DEN,1129202
13851,OKC,1385103
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
10558,BFF,1055803
11283,DDC,1128302
11292,DEN,1129202
11468,EAR,1146802
12899,LBF,1289902
12902,LBL,1290203
11292,DEN,1129202
11292,DEN,1129202
10325,APA,1032504
11292,DEN,1129202
14081,PGA,1408102
11711,FMN,1171102
11292,DEN,1129202
11292,DEN,1129202
10409,ATY,1040903
12389,ISN,1238902
11292,DEN,1129202
12889,LAS,1288903
11921,GJT,1192102
11292,DEN,1129202
11298,DFW,1129804
12278,ICT,1227803
10721,BOS,1072102
12892,LAX,1289205
12992,LIT,1299204
11292,DEN,1129202
11109,COS,1110902
11292,DEN,1129202
11292,DEN,1129202
11109,COS,1110902
12892,LAX,1289205
13487,MSP,1348702
13487,MSP,1348702
14869,SLC,1486903
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
15370,TUL,1537002
11292,DEN,1129202
11292,DEN,1129202
12992,LIT,1299204
13486,MSO,1348602
15376,TUS,1537602
11292,DEN,1129202
11109,COS,1110902
10140,ABQ,1014003
10397,ATL,1039705
10423,AUS,1042302
11003,CID,1100303
11097,COD,1109702
11122,CPR,1112203
11298,DFW,1129804
11986,GRR,1198603
12266,IAH,1226603
12441,JAC,1244102
12992,LIT,1299204
13264,MFR,1326403
13871,OMA,1387102
