DEST,DEST_CITY_NAME,DEST_CITY_MARKET_ID,DEST_WAC
DEN,"Denver, CO",30325,82
SFO,"San Francisco, CA",32457,91
DEN,"Denver, CO",30325,82
APA,"Denver, CO",30325,82
DIK,"Dickinson, ND",31315,66
ISN,"Williston, ND",32389,66
DEN,"Denver, CO",30325,82
STL,"St. Louis, MO",31123,64
EGE,"Eagle, CO",31503,82
EGE,"Eagle, CO",31503,82
DEN,"Denver, CO",30325,82
GSP,"Greer, SC",31871,37
VCV,"Victorville, CA",35570,91
COS,"Colorado Springs, CO",30189,82
BUR,"Burbank, CA",32575,91
EGE,"Eagle, CO",31503,82
BUR,"Burbank, CA",32575,91
ASE,"Aspen, CO",30372,82
PHX,"Phoenix, AZ",30466,81
DEN,"Denver, CO",30325,82
COS,"Colorado Springs, CO",30189,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
ATL,"Atlanta, GA",30397,34
DFW,"Dallas/Fort Worth, TX",30194,74
DEN,"Denver, CO",30325,82
ATL,"Atlanta, GA",30397,34
ATL,"Atlanta, GA",30397,34
ATL,"Atlanta, GA",30397,34
CVG,"Cincinnati, OH",33105,52
DTW,"Detroit, MI",31295,43
FSD,"Sioux Falls, SD",31775,67
LAS,"Las Vegas, NV",32211,85
SAN,"San Diego, CA",33570,91
SLC,"Salt Lake City, UT",34614,87
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
YIP,"Detroit, MI",31295,43
COS,"Colorado Springs, CO",30189,82
DEN,"Denver, CO",30325,82
CLE,"Cleveland, OH",30647,44
JAN,"Jackson/Vicksburg, MS",32448,53
LAX,"Los Angeles, CA",32575,91
MIA,"Miami, FL",32467,33
RIC,"Richmond, VA",34524,38
DEN,"Denver, CO",30325,82
SFO,"San Francisco, CA",32457,91
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
COS,"Colorado Springs, CO",30189,82
BUF,"Buffalo, NY",30792,22
CRP,"Corpus Christi, TX",31140,74
ECP,"Panama City, FL",31481,33
GPT,"Gulfport/Biloxi, MS",31973,53
GSP,"Greer, SC",31871,37
LBB,"Lubbock, TX",32896,74
LIT,"Little Rock, AR",32600,71
COS,"Colorado Springs, CO",30189,82
DEN,"Denver, CO",30325,82
AUS,"Austin, TX",30423,74
ORD,"Chicago, IL",30977,41
SJC,"San Jose, CA",32457,91
APA,"Denver, CO",30325,82
APA,"Denver, CO",30325,82
ASE,"Aspen, CO",30372,82
LAS,"Las Vegas, NV",32211,85
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
OAK,"Oakland, CA",32457,91
PTK,"Pontiac, MI",34275,43
SLC,"Salt Lake City, UT",34614,87
GJT,"Grand Junction, CO",31921,82
ENV,"Wendover, UT",31563,87
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
OAK,"Oakland, CA",32457,91
DEN,"Denver, CO",30325,82
MKE,"Milwaukee, WI",33342,45
DEN,"Denver, CO",30325,82
IFP,"Bullhead City, AZ",30590,81
IFP,"Bullhead City, AZ",30590,81
DEN,"Denver, CO",30325,82
FNL,"Fort Collins/Loveland, CO",31719,82
MTJ,"Montrose/Delta, CO",33502,82
PUB,"Pueblo, CO",34288,82
IFP,"Bullhead City, AZ",30590,81
IFP,"Bullhead City, AZ",30590,81
PUB,"Pueblo, CO",34288,82
OAK,"Oakland, CA",32457,91
DEN,"Denver, CO",30325,82
CVG,"Cincinnati, OH",33105,52
DEN,"Denver, CO",30325,82
COS,"Colorado Springs, CO",30189,82
DEN,"Denver, CO",30325,82
OKC,"Oklahoma City, OK",33851,73
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
BFF,"Scottsbluff, NE",30558,65
DDC,"Dodge City, KS",31283,62
DEN,"Denver, CO",30325,82
EAR,"Kearney, NE",31468,65
LBF,"North Platte, NE",32899,65
LBL,"Liberal, KS",32902,62
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
APA,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
PGA,"Page, AZ",34081,81
FMN,"Farmington, NM",31711,86
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
ATY,"Watertown, SD",30409,67
ISN,"Williston, ND",32389,66
DEN,"Denver, CO",30325,82
LAS,"Las Vegas, NV",32211,85
GJT,"Grand Junction, CO",31921,82
DEN,"Denver, CO",30325,82
DFW,"Dallas/Fort Worth, TX",30194,74
ICT,"Wichita, KS",30928,62
BOS,"Boston, MA",30721,13
LAX,"Los Angeles, CA",32575,91
LIT,"Little Rock, AR",32600,71
DEN,"Denver, CO",30325,82
COS,"Colorado Springs, CO",30189,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
COS,"Colorado Springs, CO",30189,82
LAX,"Los Angeles, CA",32575,91
MSP,"Minneapolis, MN",31650,63
MSP,"Minneapolis, MN",31650,63
SLC,"Salt Lake City, UT",34614,87
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
TUL,"Tulsa, OK",34653,73
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
LIT,"Little Rock, AR",32600,71
MSO,"Missoula, MT",33486,84
TUS,"Tucson, AZ",30436,81
DEN,"Denver, CO",30325,82
COS,"Colorado Springs, CO",30189,82
ABQ,"Albuquerque, NM",30140,86
ATL,"Atlanta, GA",30397,34
AUS,"Austin, TX",30423,74
CID,"Cedar Rapids/Iowa City, IA",31003,61
COD,"Cody, WY",31097,88
CPR,"Casper, WY",31122,88
DFW,"Dallas/Fort Worth, TX",30194,74
GRR,"Grand Rapids, MI",31986,43
IAH,"Houston, TX",31453,74
JAC,"Jackson, WY",32441,88
LIT,"Little Rock, AR",32600,71
MFR,"Medford, OR",33264,92
OMA,"Omaha, NE",33316,65
ORD,"Chicago, IL",30977,41
RDM,"Bend/Redmond, OR",34489,92
SAN,"San Diego, CA",33570,91
SDF,"Louisville, KY",33044,52
SFO,"San Francisco, CA",32457,91
SFO,"San Francisco, CA",32457,91
SNA,"Santa Ana, CA",32575,91
SUN,"Sun Valley/Hailey/Ketchum, ID",35041,83
COS,"Colorado Springs, CO",30189,82
LAX,"Los Angeles, CA",32575,91
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
COS,"Colorado Springs, CO",30189,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
GJT,"Grand Junction, CO",31921,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
COS,"Colorado Springs, CO",30189,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
ABQ,"Albuquerque, NM",30140,86
BIL,"Billings, MT",30620,84
BOS,"Boston, MA",30721,13
BZN,"Bozeman, MT",30849,84
CVG,"Cincinnati, OH",33105,52
DTW,"Detroit, MI",31295,43
FLL,"Fort Lauderdale, FL",32467,33
IAD,"Washington, DC",30852,38
IAH,"Houston, TX",31453,74
LAS,"Las Vegas, NV",32211,85
MCI,"Kansas City, MO",33198,64
MCO,"Orlando, FL",31454,33
ORD,"Chicago, IL",30977,41
PHL,"Philadelphia, PA",34100,23
PSP,"Palm Springs, CA",34262,91
RIC,"Richmond, VA",34524,38
RNO,"Reno, NV",34570,85
SLC,"Salt Lake City, UT",34614,87
STL,"St. Louis, MO",31123,64
STL,"St. Louis, MO",31123,64
TUL,"Tulsa, OK",34653,73
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
ABQ,"Albuquerque, NM",30140,86
BOI,"Boise, ID",30713,83
DTW,"Detroit, MI",31295,43
GRR,"Grand Rapids, MI",31986,43
MKE,"Milwaukee, WI",33342,45
PDX,"Portland, OR",34057,92
PHL,"Philadelphia, PA",34100,23
RNO,"Reno, NV",34570,85
RSW,"Fort Myers, FL",31714,33
TUL,"Tulsa, OK",34653,73
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
CLE,"Cleveland, OH",30647,44
COS,"Colorado Springs, CO",30189,82
DSM,"Des Moines, IA",31423,61
ICT,"Wichita, KS",30928,62
OMA,"Omaha, NE",33316,65
SLC,"Salt Lake City, UT",34614,87
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
CMH,"Columbus, OH",31066,44
DTW,"Detroit, MI",31295,43
IAH,"Houston, TX",31453,74
IND,"Indianapolis, IN",32337,42
MCO,"Orlando, FL",31454,33
MCO,"Orlando, FL",31454,33
