AIRLINE_ID,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,DISTANCE,DISTANCE_GROUP,RAMP_TO_RAMP,AIR_TIME,SEATS
20409,0,1,854,2,124,107,150
21171,0,1,967,2,144,125,119
21171,0,1,967,2,162,121,119
21080,0,1,604,2,120,108,8
20354,0,1,488,1,91,72,50
20354,0,2,576,2,200,165,100
20354,0,1,488,1,91,82,50
20354,0,1,889,2,131,116,50
20354,0,1,889,2,143,124,50
20354,0,1,1464,3,206,196,50
20201,0,1,1199,3,178,168,0
20201,0,1,1278,3,181,167,0
20368,0,1,761,2,132,120,215
20368,0,1,604,2,96,72,215
21352,0,1,725,2,122,113,8
21352,0,2,735,2,234,210,16
21352,0,2,735,2,233,209,16
21352,0,1,292,1,54,47,8
19805,0,1,602,2,164,88,187
19805,0,1,1558,4,260,216,187
19790,0,1,1184,3,169,152,199
19790,0,1,1199,3,212,172,132
19790,0,1,1199,3,174,156,192
19790,0,1,1184,3,166,148,199
19790,0,1,592,2,91,75,160
19790,0,1,230,1,83,54,110
19790,0,1,1199,3,153,132,132
19790,0,1,1199,3,173,152,192
19790,0,1,1199,3,167,143,72
19790,0,1,1069,3,142,128,72
19790,0,1,1123,3,158,137,149
19790,0,1,483,1,152,126,158
19790,0,1,628,2,118,92,158
19790,0,1,853,2,142,115,158
19790,0,1,391,1,92,70,72
19790,0,1,1123,3,178,151,149
19790,0,1,680,2,142,101,199
19790,0,1,495,1,115,76,158
19790,0,2,967,2,280,229,144
19790,0,1,391,1,84,53,72
20402,0,1,1671,4,275,255,173
20402,0,1,1136,3,160,140,173
20402,0,1,954,2,150,120,173
19977,0,1,150,1,48,36,128
19977,0,1,1201,3,168,151,166
19977,0,1,967,2,218,190,166
19977,0,1,862,2,144,116,128
19977,0,1,1709,4,298,270,179
19977,0,1,1482,3,249,217,166
19977,0,1,541,2,86,79,179
19977,0,1,967,2,206,119,219
19393,0,2,73,1,83,41,286
19393,0,2,90,1,96,45,286
19393,0,1,90,1,40,23,175
19393,0,1,602,2,162,137,143
19393,0,1,1359,3,230,213,143
19393,0,1,929,2,167,148,175
19393,0,1,1250,3,212,198,175
19393,0,1,1095,3,170,156,143
19393,0,1,1278,3,225,210,143
19393,0,1,456,1,129,115,143
19393,0,1,771,2,128,112,175
19393,0,1,943,2,162,141,143
19393,0,1,73,1,34,19,175
21652,0,1,764,2,144,132,8
21652,0,1,903,2,150,132,8
21652,0,1,937,2,144,126,12
21652,0,1,764,2,120,102,8
21652,0,1,1166,3,174,162,12
21652,0,1,919,2,144,132,8
20377,0,1,628,2,120,90,218
21161,0,2,595,2,195,161,358
21161,0,1,1049,3,162,151,179
21161,0,1,957,2,155,132,179
21161,0,1,1120,3,157,142,179
21161,0,3,391,1,266,186,537
21161,0,1,312,1,58,41,179
21161,0,1,312,1,67,49,179
21161,0,1,1413,3,210,196,179
21161,0,1,541,2,92,82,179
20372,0,1,957,2,145,125,0
20372,0,1,870,2,140,120,0
21635,0,1,896,2,129,110,16
21635,0,1,804,2,124,106,16
20422,0,2,632,2,473,369,324
20422,0,1,637,2,124,102,162
20422,0,1,632,2,213,175,162
20422,0,1,637,2,208,175,162
20422,0,1,436,1,209,179,162
20422,0,1,598,2,191,169,162
20422,0,1,436,1,207,183,162
20422,0,1,598,2,211,182,162
20447,0,1,1070,3,170,160,0
20447,0,1,967,2,175,155,0
20190,0,22,1069,3,3922,3343,0
20190,0,22,1069,3,3620,2944,0
19930,0,1,73,1,48,19,178
19930,0,1,1068,3,180,148,178
20237,0,1,150,1,55,29,50
20237,0,1,495,1,136,114,50
20225,0,1,22,1,32,13,30
20225,0,44,150,1,2622,1956,1320
20225,0,19,292,1,1692,1405,570
20225,0,45,150,1,2489,1733,1350
20225,0,23,292,1,1912,1491,690
20225,0,3,0,1,224,176,90
20225,0,56,305,1,4620,3767,1680
20225,0,48,228,1,3481,2635,1440
20225,0,19,280,1,1605,1299,570
20225,0,56,305,1,5338,4462,1680
20225,0,48,228,1,3700,2947,1440
20225,0,1,274,1,100,87,30
20225,0,21,280,1,1830,1524,630
20358,0,1,420,1,117,103,19
20358,0,1,231,1,79,60,19
21599,0,1,0,1,100,84,8
20354,1,1,150,1,60,45,50
20354,1,1,519,2,86,67,50
20354,1,1,576,2,106,81,50
20354,1,3,576,2,298,260,150
20368,1,1,420,1,78,60,156
20368,1,1,420,1,84,60,156
19805,1,1,73,1,42,20,160
19805,1,1,592,2,97,78,160
19805,1,1,403,1,117,85,140
19805,1,1,1754,4,255,207,181
19805,1,1,862,2,144,115,181
19805,1,1,771,2,150,106,160
19805,1,1,1546,4,255,196,181
19805,1,1,911,2,157,138,160
19805,1,1,1436,3,219,201,160
19805,1,1,967,2,159,140,187
19805,1,1,411,1,87,71,160
19790,1,1,862,2,166,136,110
19790,1,1,680,2,126,86,110
19790,1,2,680,2,219,176,320
19790,1,1,391,1,78,60,160
19790,1,1,1123,3,176,154,160
19790,1,1,680,2,131,103,110
19790,1,1,680,2,112,95,160
20500,1,1,541,2,110,74,70
20500,1,1,1015,3,153,132,70
20304,1,1,391,1,91,61,50
20304,1,1,746,2,143,97,50
20304,1,1,734,2,137,100,50
20304,1,1,580,2,104,85,50
20304,1,1,230,1,56,41,50
20304,1,1,1487,3,218,191,76
20304,1,1,349,1,78,52,70
20304,1,1,1199,3,210,183,70
20304,1,1,775,2,151,129,76
20304,1,1,692,2,109,89,76
20304,1,1,391,1,89,64,50
20304,1,1,230,1,64,37,50
20304,1,1,641,2,122,91,70
