ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_AIRPORT_SEQ_ID
12954,LGB,1295403
11292,DEN,1129202
14771,SFO,1477102
11423,DSM,1142304
11292,DEN,1129202
11292,DEN,1129202
11315,DIK,1131502
11503,EGE,1150303
15016,STL,1501603
12544,USA,1254403
10397,ATL,1039705
11292,DEN,1129202
11109,COS,1110902
12889,LAS,1288903
10372,ASE,1037203
10800,BUR,1080003
11503,EGE,1150303
14869,SLC,1486903
11292,DEN,1129202
14100,PHL,1410002
10397,ATL,1039705
10397,ATL,1039705
10397,ATL,1039705
11109,COS,1110902
11109,COS,1110902
11122,CPR,1112203
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11433,DTW,1143302
13487,MSP,1348702
13851,OKC,1385103
14771,SFO,1477102
14869,SLC,1486903
10529,BDL,1052904
11109,COS,1110902
13796,OAK,1379604
10558,BFF,1055803
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
13341,MKC,1334102
11292,DEN,1129202
11109,COS,1110902
11233,CYS,1123302
11233,CYS,1123302
11259,DAL,1125903
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
14831,SJC,1483104
11109,COS,1110902
10325,APA,1032504
10325,APA,1032504
10325,APA,1032504
10423,AUS,1042302
11066,CMH,1106603
14792,SGR,1479201
11292,DEN,1129202
10466,AZA,1046602
10747,BRO,1074702
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11563,ENV,1156303
11921,GJT,1192102
14576,ROC,1457604
15370,TUL,1537002
11292,DEN,1129202
11376,DPA,1137601
11292,DEN,1129202
14570,RNO,1457002
11292,DEN,1129202
11719,FNL,1171902
10590,IFP,1059004
10590,IFP,1059004
10590,IFP,1059004
10590,IFP,1059004
13502,MTJ,1350202
14288,PUB,1428803
11840,GAD,1184002
14288,PUB,1428803
11193,CVG,1119302
11292,DEN,1129202
11109,COS,1110902
14747,SEA,1474703
10558,BFF,1055803
11292,DEN,1129202
10325,APA,1032504
10558,BFF,1055803
11283,DDC,1128302
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11468,EAR,1146802
12899,LBF,1289902
12902,LBL,1290203
12902,LBL,1290203
11292,DEN,1129202
14288,PUB,1428803
11292,DEN,1129202
10558,BFF,1055803
11292,DEN,1129202
11292,DEN,1129202
12389,ISN,1238902
11921,GJT,1192102
12889,LAS,1288903
11109,COS,1110902
11109,COS,1110902
11109,COS,1110902
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
13204,MCO,1320402
13930,ORD,1393004
14492,RDU,1449202
14771,SFO,1477102
14869,SLC,1486903
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11433,DTW,1143302
13487,MSP,1348702
13487,MSP,1348702
11292,DEN,1129202
11986,GRR,1198603
11097,COD,1109702
11109,COS,1110902
11109,COS,1110902
11109,COS,1110902
11122,CPR,1112203
11278,DCA,1127803
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11298,DFW,1129804
11921,GJT,1192102
12266,IAH,1226603
12441,JAC,1244102
12888,LAR,1288802
12892,LAX,1289205
12992,LIT,1299204
13264,MFR,1326403
13486,MSO,1348602
13930,ORD,1393004
14057,PDX,1405702
14252,PSC,1425202
14679,SAN,1467903
14683,SAT,1468303
14794,SGU,1479403
14893,SMF,1489302
14908,SNA,1490803
10140,ABQ,1014003
10529,BDL,1052904
10721,BOS,1072102
10849,BZN,1084903
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
12264,IAD,1226402
12266,IAH,1226603
12266,IAH,1226603
13198,MCI,1319801
13204,MCO,1320402
14262,PSP,1426204
14262,PSP,1426204
14524,RIC,1452401
14570,RNO,1457002
14683,SAT,1468303
14689,SBA,1468902
14771,SFO,1477102
14771,SFO,1477102
14908,SNA,1490803
15016,STL,1501603
15016,STL,1501603
15370,TUL,1537002
10994,CHS,1099402
11042,CLE,1104203
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11433,DTW,1143302
11986,GRR,1198603
13495,MSY,1349503
14122,PIT,1412202
14570,RNO,1457002
14635,RSW,1463502
14893,SMF,1489302
10397,ATL,1039705
11109,COS,1110902
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
12278,ICT,1227803
14730,SDF,1473003
15370,TUL,1537002
11193,CVG,1119302
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11433,DTW,1143302
12264,IAD,1226402
12266,IAH,1226603
12339,IND,1233904
13204,MCO,1320402
13486,MSO,1348602
13930,ORD,1393004
14107,PHX,1410702
15016,STL,1501603
15304,TPA,1530402
15412,TYS,1541203
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11292,DEN,1129202
11921,GJT,1192102
12339,IND,1233904
