ORIGIN,ORIGIN_CITY_NAME,ORIGIN_CITY_MARKET_ID,ORIGIN_WAC
LGB,"Long Beach, CA",32575,91
DEN,"Denver, CO",30325,82
SFO,"San Francisco, CA",32457,91
DSM,"Des Moines, IA",31423,61
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DIK,"Dickinson, ND",31315,66
EGE,"Eagle, CO",31503,82
STL,"St. Louis, MO",31123,64
USA,"CONCORD, NC",32544,36
ATL,"Atlanta, GA",30397,34
DEN,"Denver, CO",30325,82
COS,"Colorado Springs, CO",30189,82
LAS,"Las Vegas, NV",32211,85
ASE,"Aspen, CO",30372,82
BUR,"Burbank, CA",32575,91
EGE,"Eagle, CO",31503,82
SLC,"Salt Lake City, UT",34614,87
DEN,"Denver, CO",30325,82
PHL,"Philadelphia, PA",34100,23
ATL,"Atlanta, GA",30397,34
ATL,"Atlanta, GA",30397,34
ATL,"Atlanta, GA",30397,34
COS,"Colorado Springs, CO",30189,82
COS,"Colorado Springs, CO",30189,82
CPR,"Casper, WY",31122,88
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DTW,"Detroit, MI",31295,43
MSP,"Minneapolis, MN",31650,63
OKC,"Oklahoma City, OK",33851,73
SFO,"San Francisco, CA",32457,91
SLC,"Salt Lake City, UT",34614,87
BDL,"Hartford, CT",30529,11
COS,"Colorado Springs, CO",30189,82
OAK,"Oakland, CA",32457,91
BFF,"Scottsbluff, NE",30558,65
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
MKC,"Kansas City, MO",33198,64
DEN,"Denver, CO",30325,82
COS,"Colorado Springs, CO",30189,82
CYS,"Cheyenne, WY",31233,88
CYS,"Cheyenne, WY",31233,88
DAL,"Dallas, TX",30194,74
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
SJC,"San Jose, CA",32457,91
COS,"Colorado Springs, CO",30189,82
APA,"Denver, CO",30325,82
APA,"Denver, CO",30325,82
APA,"Denver, CO",30325,82
AUS,"Austin, TX",30423,74
CMH,"Columbus, OH",31066,44
SGR,"Sugar Land, TX",34792,74
DEN,"Denver, CO",30325,82
AZA,"Phoenix, AZ",30466,81
BRO,"Brownsville, TX",30747,74
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
ENV,"Wendover, UT",31563,87
GJT,"Grand Junction, CO",31921,82
ROC,"Rochester, NY",34576,22
TUL,"Tulsa, OK",34653,73
DEN,"Denver, CO",30325,82
DPA,"Chicago, IL",30977,41
DEN,"Denver, CO",30325,82
RNO,"Reno, NV",34570,85
DEN,"Denver, CO",30325,82
FNL,"Fort Collins/Loveland, CO",31719,82
IFP,"Bullhead City, AZ",30590,81
IFP,"Bullhead City, AZ",30590,81
IFP,"Bullhead City, AZ",30590,81
IFP,"Bullhead City, AZ",30590,81
MTJ,"Montrose/Delta, CO",33502,82
PUB,"Pueblo, CO",34288,82
GAD,"Gadsden, AL",31840,51
PUB,"Pueblo, CO",34288,82
CVG,"Cincinnati, OH",33105,52
DEN,"Denver, CO",30325,82
COS,"Colorado Springs, CO",30189,82
SEA,"Seattle, WA",30559,93
BFF,"Scottsbluff, NE",30558,65
DEN,"Denver, CO",30325,82
APA,"Denver, CO",30325,82
BFF,"Scottsbluff, NE",30558,65
DDC,"Dodge City, KS",31283,62
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
DEN,"Denver, CO",30325,82
EAR,"Kearney, NE",31468,65
LBF,"North Platte, NE",32899,65
LBL,"Liberal, KS",32902,62
LBL,"Liberal, KS",32902,62
DEN,"Denver, CO",30325,82
PUB,"Pueblo, CO",34288,82
DEN,"Denver, CO",30325,82
BFF,"Scottsbluff, NE",30558,65
DEN,"Denver, CO",30325,82
