AIRLINE_ID,UNIQUE_CARRIER_ENTITY,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_GROUP_NEW
20409,6673,B6,JetBlue Airways,3
21171,1006,VX,Virgin America,3
21171,1006,VX,Virgin America,3
21080,1126,04Q,Tradewind Aviation,6
20354,6081,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,5
20354,6081,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,5
20354,6081,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,5
20354,6081,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,5
20354,6081,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,5
20354,6081,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,5
20201,6055,AMQ,Ameristar Air Cargo,4
20201,6055,AMQ,Ameristar Air Cargo,4
20368,6035,G4,Allegiant Air,3
20368,6035,G4,Allegiant Air,3
21352,1150,0WQ,Avjet Corporation,1
21352,1150,0WQ,Avjet Corporation,1
21352,1150,0WQ,Avjet Corporation,1
21352,1150,0WQ,Avjet Corporation,1
19805,0A050,AA,American Airlines Inc.,3
19805,0A050,AA,American Airlines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
19790,1260,DL,Delta Air Lines Inc.,3
20402,6690,GL,Miami Air International,2
20402,6690,GL,Miami Air International,2
20402,6690,GL,Miami Air International,2
19977,0A875,UA,United Air Lines Inc.,3
19977,0A875,UA,United Air Lines Inc.,3
19977,0A875,UA,United Air Lines Inc.,3
19977,0A875,UA,United Air Lines Inc.,3
19977,0A875,UA,United Air Lines Inc.,3
19977,0A875,UA,United Air Lines Inc.,3
